JOSÉ DONIZETTI DE ALMEIDA RESTAURANTE,Restaurante,R,Caetano Scalise 117 CS,4, Jardim Maracanã,São Carlos, SP,13571-340,16,33685515
RESTAURANTE MAMÃE NATUREZA,Restaurante,R,Capitão Adão Pereira de Souza Cabral,457, Centro,São Carlos, SP,13561-000,16,33742653
QUASE 2 RESTAURANTE E LANCHONETE,Restaurante,Av,São Carlos,2796 CS B, Centro,São Carlos, SP,13560-002,,
RESTAURANTE E ROTISSERIE SABOR 10,Restaurante,R,Francisco Marigo,783, Jardim Cruzeiro do Sul,São Carlos, SP,13572-090,16,996019164,31161920,34160955
RESTAURANTE NATURAL ARROZ INTEGRAL,Restaurante,R,Major José Inácio 1843 SL,4, Centro,São Carlos, SP,13560-160,,
RESTAURANTE TEMPERO E ARTE,Restaurante,Av,São Carlos,2986, Centro,São Carlos, SP,13560-002,16,33761768
DEGRAU S RESTAURANTE,Restaurante,R,Episcopal,1289, Núcleo Residencial Sílvio Vilari,São Carlos, SP,13560-570,16,33725261
CASA DO CAFÉ E RESTAURANTE,Restaurante,R,Riachuelo,1201, Centro,São Carlos, SP,13560-110,16,33720113
A P MENDES RESTAURANTE,Restaurante,Av,São Carlos,2784, Centro,São Carlos, SP,13560-002,16,34156495,34156496,992346905
SAMURAI RESTAURANTE  CHOPERIA E PIZZARIA,Restaurante,R,Doutor Orlando Damiano,2157, Jardim Macarengo,São Carlos, SP,13560-450,16,33741319,33079984,33645010
RESTAURANTE SABOR E MAGIA,Restaurante,Av,São Carlos,1118, Centro,São Carlos, SP,13560-001,16,33071098
M. ALBERT RS RESTAURANTE,Restaurante,R,São Sebastião,2553, Centro,São Carlos, SP,13560-230,16,33646699,981874034
FLORIPA 66 BAR & RESTAURANTE,Restaurante,R,Episcopal,2600, Centro,São Carlos, SP,13560-049,16,32017903
DELÍCIAS DA VOVO ROTISSERIE E RESTAURANTE,Restaurante,R,Iwagiro Toyama 425 Lj,03, Jardim Paulistano,São Carlos, SP,13564-380,16,34128289
GILMAR LUIZ THEODORO RESTAURANTE,Restaurante,R,Geminiano Costa,638, Jardim São Carlos,São Carlos, SP,13560-641,16,35011435
RESTAURANTE COZINHA MINEIRA,Restaurante,Av,São Carlos,1895, Centro,São Carlos, SP,13560-010,16,33071844
MULT SPAÇO RESTAURANTE,Restaurante,R,Luiz Vaz de Toledo Piza,346, Jardim Lutfalla,São Carlos, SP,13560-520,16,33510327
COZINHA PAULISTA RESTAURANTE DELIVERY,Restaurante,R,Antônio Blanco,188, Vila Costa do Sol,São Carlos, SP,13566-020,16,34193350,34193360
CANTINA LANCHONETE PIZZARIA E RESTAURANTE,Restaurante,Av,Theodureto de Camargo,1659, Vila Prado,São Carlos, SP,13574-130,16,33661419,33754248,988365569
SABOR E ARTE RESTAURANTE E LANCHONETE,Restaurante,Av,Trabalhador Sancarlense,570, Parque Arnold Schimidt,São Carlos, SP,13566-590,16,34192016
D''GUST RESTAURANTE E MARMITEX,Restaurante,Av,José Pereira Lopes 1225 s,1, Jardim Botafogo 1,São Carlos, SP,13575-380,16,35014015,31168839
FINO SABOR RESTAURANTE,Restaurante,R,9 de Julho,846, Centro,São Carlos, SP,13560-042,16,33720127,991594154,991665601
LOBO & LOCHER RESTAURANTE,Restaurante,R,9 de Julho,1688, Centro,São Carlos, SP,13560-042,16,33077630,33713943,33723993
RESTAURANTE MACARRÃO NA CHAPA,Restaurante,R,Miguel João,601, Jardim Bandeirantes,São Carlos, SP,13562-180,16,31163938
RESTAURANTE VILA AROMA,Restaurante,R,Cidadão Silva Cezar,512 fu, Parque Santa Felícia Jardim,São Carlos, SP,13562-400,16,33071693
RESTAURANTE SUSHI YA SAN,Restaurante,R,Tiradentes,128, Jardim Macarengo,São Carlos, SP,13560-430,16,33071165
SAPORE RESTAURANTES PARA COLETIVIDADE,Restaurante,R,Ray Wesley Herrick,21500, Jardim Jockei Club Área,São Carlos, SP,13565-090,16,33510366
BAR E RESTAURANTE AZUL MUSIC,Restaurante,Av,São Carlos,2986, Centro,São Carlos, SP,13560-002,16,33619888
RESTAURANTE SEGREDO CASEIRO,Restaurante,Av,Getúlio Vargas,13, Vila Lutfalla,São Carlos, SP,13570-672,16,33684536
TIO JOAQUIM RESTAURANTE E CERVEJARIA,Restaurante,R,15 de Novembro,1447, Parque Santa Mônica,São Carlos, SP,13561-206,16,34137001,34137002,997121888
RESTAURANTE E LANCHONETE ROMA DE SÃO CARLOS,Restaurante,Av,Comendador Alfredo Maffei,2269, Jardim São Carlos,São Carlos, SP,13561-270,16,33078137
SABOR CASEIRO RESTAURANTE,Restaurante,R,Gastão Vieira,861, Parque Santa Felícia Jardim,São Carlos, SP,13562-410,16,33742036
CHOPERIA E RESTAURANTE PANELA,Restaurante,R,Doutor Orlando Damiano,2157, Jardim Macarengo,São Carlos, SP,13560-450,16,33714157,33741319
RESTAURANTE JIN JIN WOK,Restaurante,R,9 de Julho,1688, Centro,São Carlos, SP,13560-042,16,33728763
RESTAURANTE ZETTAI DE SÃO CARLOS,Restaurante,R,Marechal Deodoro,1846, Centro,São Carlos, SP,13560-200,,
RESTAURANTE NOVO SABOR,Restaurante,R,Jesuino de Arruda,2039 : A;, Jardim São Carlos,São Carlos, SP,13560-642,,
URGEL JESUS CARVALHO - RESTAURANTE,Restaurante,Av,Sallum,1560, Vila Prado,São Carlos, SP,13574-040,,
MARYU S RESTAURANTE CASA BRANCA,Restaurante,R,Ângelo Passeri,75, Jardim Beatriz,São Carlos, SP,13562-341,16,33741933,33742499
R&R RESTAURANTE DONA DORA,Restaurante,R,São Sebastião,1800, Centro,São Carlos, SP,13560-230,16,33728143,34134804,34153426
XIKEIRINHO,Restaurante,Av,São Carlos,2947 TR, Centro,São Carlos, SP,13560-011,16,981799200,981799222,981799229
FRY CHICKEM,Restaurante,Pso,Flamboyants,200 lj-29, Parque Faber,São Carlos, SP,13561-352,16,33722133
CASA DA PIZZA EXPRESS,Restaurante,R,Raimundo Corrêa,565, Vila Marcelino,São Carlos, SP,13570-591,16,997330170,33685286,997331844
ELAINE DO CARMO DA SILVA,Restaurante,R,Orlando Perez,536, Loteamento Habitacional São Carlos 2,São Carlos, SP,13563-210,16,33646261,33646264
LUNA DELIVERY,Restaurante,R,São Sebastião,1859, Centro,São Carlos, SP,13560-230,16,999616244
DECK POTATÕES,Restaurante,R,Padre Teixeira,1627, Centro,São Carlos, SP,13560-210,16,33072153,33072176
CHURRASCARIA VALTER,Restaurante,R,Major José Inácio,2206, Centro,São Carlos, SP,13560-160,16,33723659
YOSHI,Restaurante,R,José Bonifácio 1843 LJ,1 BL A, Núcleo Residencial Sílvio Vilari,São Carlos, SP,13560-610,16,33726195
EDUARDO HENRIQUE DE ALMEIDA,Restaurante,Av,Trabalhador Sancarlense,650, Parque Arnold Schimidt,São Carlos, SP,13566-590,16,33727939
MARCELO RUSSO,Restaurante,R,Elias Arsenios,230, Jardim Cruzeiro do Sul,São Carlos, SP,13572-100,16,33751867
NILCE APARECIDA MARINI DA SILVA LANCHONETE,Restaurante,R,9 de Julho,982, Centro,São Carlos, SP,13560-042,16,33742095,33643362,34157235
RODINEY APARECIDO GODOY,Restaurante,R,Padre José Lopes de Oliveira,74, Jardim Bandeirantes,São Carlos, SP,13562-270,16,34151256
FÁTIMA HELENA SAMPAIO CAMARGO DE ARAÚJO,Restaurante,Av,São Carlos,2112 FDS, Centro,São Carlos, SP,13560-001,,
DECK CHURRASCARIA,Restaurante,R,Inconfidentes,6500, Parque Arnold Schimidt,São Carlos, SP,13566-581,19,35334498
ROGER RENATO MALIMPENSA,Restaurante,Av,Getúlio Vargas,1250, Vila Lutfalla,São Carlos, SP,13570-390,16,33724234,997741856
MARIA ELIZABETH LITHOLDO SERAVO,Restaurante,R,Marcus Vinícius de Mello Moraes,700, Parque Santa Felícia Jardim,São Carlos, SP,13563-304,11,991638260,34153902
KIREI SAN DELIVERY,Restaurante,Al,Crisandalias,706, Cidade Jardim,São Carlos, SP,13566-570,16,33613000
MARLON CÉSAR DE OLIVEIRA SÃO CARLOS,Restaurante,R,Jacinto Favoreto 795 1 AP,203, Jardim Macarengo,São Carlos, SP,13560-462,16,33717531
CHURRASCARIA CASA GRANDE DE SÃO CARLOS,Restaurante,R,Conde Pinhal,2333 FDS, Jardim São Carlos,São Carlos, SP,13560-648,,
NÁDIA DIAS BENTO,Restaurante,R,Episcopal,1347, Núcleo Residencial Sílvio Vilari,São Carlos, SP,13560-570,,
LUCIANA PEREIRA DOS SANTOS,Restaurante,R,Irmã Hilaria Maria São Luiz,267, Jardim Hikare,São Carlos, SP,13564-480,16,992133456
SANDRA SANTINA CERQUEIRA,Restaurante,R,Raimundo Corrêa,1415, Vila Marcelino,São Carlos, SP,13570-591,16,34137170,981294949,981295440
COZINHA PETRILLI,Restaurante,R,São Sebastião,2079, Centro,São Carlos, SP,13560-230,16,33071890,33712836
RONALDO MARINI & CIA.,Restaurante,R,Paulino Botelho de Abreu Sampaio,573 BL A, Jardim Bethânia,São Carlos, SP,13561-060,16,34131892,33732699
JOSÉ MAURO DE FRANCA,Restaurante,R,Salomão Schevs,553 A, Jardim Cruzeiro do Sul,São Carlos, SP,13572-083,16,33613780,33617376
CANTINHO DA MAMA,Restaurante,R,Jesuino de Arruda,1816, Jardim São Carlos,São Carlos, SP,13560-642,16,33072267,33071627,33075659
KING POTATO,Restaurante,Pso,Flamboyants,200 lj-25, Parque Faber,São Carlos, SP,13561-352,16,33710139
OTUKA E CACCIA,Restaurante,R,Miguel Petroni,1837, Centro,São Carlos, SP,13561-002,16,33076149,33077307,34155324
